pays_code,pays_nom,annee,valeur,indicateur,source,updated_at
MLI,Mali,2019,-6.29353963446866,Balance courante / PIB (%),Banque Mondiale,2026-05-06 23:28:36
NER,Niger,2024,-6.04461946595567,Balance courante / PIB (%),Banque Mondiale,2026-05-06 23:28:36
NER,Niger,2023,-13.969604179294,Balance courante / PIB (%),Banque Mondiale,2026-05-06 23:28:36
NER,Niger,2022,-16.1987356727326,Balance courante / PIB (%),Banque Mondiale,2026-05-06 23:28:36
NER,Niger,2021,-14.0736964853201,Balance courante / PIB (%),Banque Mondiale,2026-05-06 23:28:36
NER,Niger,2020,-13.2104717583835,Balance courante / PIB (%),Banque Mondiale,2026-05-06 23:28:36
NER,Niger,2019,-12.1993364507939,Balance courante / PIB (%),Banque Mondiale,2026-05-06 23:28:36
SEN,Senegal,2023,-19.7803402658787,Balance courante / PIB (%),Banque Mondiale,2026-05-06 23:28:36
SEN,Senegal,2022,-19.9485520410487,Balance courante / PIB (%),Banque Mondiale,2026-05-06 23:28:36
SEN,Senegal,2021,-12.0900482268387,Balance courante / PIB (%),Banque Mondiale,2026-05-06 23:28:36
SEN,Senegal,2020,-10.8532305243561,Balance courante / PIB (%),Banque Mondiale,2026-05-06 23:28:36
SEN,Senegal,2019,-8.10949609772061,Balance courante / PIB (%),Banque Mondiale,2026-05-06 23:28:36
TGO,Togo,2020,-0.277018884474411,Balance courante / PIB (%),Banque Mondiale,2026-05-06 23:28:36
TGO,Togo,2019,-0.79288311411585,Balance courante / PIB (%),Banque Mondiale,2026-05-06 23:28:36
BEN,Benin,2024,21482643706.4249,PIB nominal (USD),Banque Mondiale,2026-05-06 23:28:36
BEN,Benin,2023,19673291004.1444,PIB nominal (USD),Banque Mondiale,2026-05-06 23:28:36
BEN,Benin,2022,17425405090.862,PIB nominal (USD),Banque Mondiale,2026-05-06 23:28:36
BEN,Benin,2021,17687623530.3355,PIB nominal (USD),Banque Mondiale,2026-05-06 23:28:36
BEN,Benin,2020,15686741883.934,PIB nominal (USD),Banque Mondiale,2026-05-06 23:28:36
BEN,Benin,2019,14391686313.4641,PIB nominal (USD),Banque Mondiale,2026-05-06 23:28:36
BFA,Burkina Faso,2024,23124729853.0218,PIB nominal (USD),Banque Mondiale,2026-05-06 23:28:36
BFA,Burkina Faso,2023,20112614449.2039,PIB nominal (USD),Banque Mondiale,2026-05-06 23:28:36
BFA,Burkina Faso,2022,18622421394.6133,PIB nominal (USD),Banque Mondiale,2026-05-06 23:28:36
BFA,Burkina Faso,2021,19697516284.3787,PIB nominal (USD),Banque Mondiale,2026-05-06 23:28:36
BFA,Burkina Faso,2020,17725010532.5268,PIB nominal (USD),Banque Mondiale,2026-05-06 23:28:36
BFA,Burkina Faso,2019,16032813503.3707,PIB nominal (USD),Banque Mondiale,2026-05-06 23:28:36
CIV,Cote d'Ivoire,2024,87113179149.284,PIB nominal (USD),Banque Mondiale,2026-05-06 23:28:36
CIV,Cote d'Ivoire,2023,80780312569.1646,PIB nominal (USD),Banque Mondiale,2026-05-06 23:28:36
CIV,Cote d'Ivoire,2022,70922824813.9102,PIB nominal (USD),Banque Mondiale,2026-05-06 23:28:36
CIV,Cote d'Ivoire,2021,72794636653.7793,PIB nominal (USD),Banque Mondiale,2026-05-06 23:28:36
CIV,Cote d'Ivoire,2020,63027852805.4204,PIB nominal (USD),Banque Mondiale,2026-05-06 23:28:36
CIV,Cote d'Ivoire,2019,60382894697.3557,PIB nominal (USD),Banque Mondiale,2026-05-06 23:28:36
GNB,Guinea-Bissau,2024,2218393804.54798,PIB nominal (USD),Banque Mondiale,2026-05-06 23:28:36
GNB,Guinea-Bissau,2023,2127688181.12014,PIB nominal (USD),Banque Mondiale,2026-05-06 23:28:36
GNB,Guinea-Bissau,2022,1859601384.05928,PIB nominal (USD),Banque Mondiale,2026-05-06 23:28:36
GNB,Guinea-Bissau,2021,1908094558.33981,PIB nominal (USD),Banque Mondiale,2026-05-06 23:28:36
GNB,Guinea-Bissau,2020,1705057581.09946,PIB nominal (USD),Banque Mondiale,2026-05-06 23:28:36
GNB,Guinea-Bissau,2019,1596227316.34846,PIB nominal (USD),Banque Mondiale,2026-05-06 23:28:36
MLI,Mali,2024,26794747239.8805,PIB nominal (USD),Banque Mondiale,2026-05-06 23:28:36
MLI,Mali,2023,24813860598.5307,PIB nominal (USD),Banque Mondiale,2026-05-06 23:28:36
MLI,Mali,2022,22539987718.7642,PIB nominal (USD),Banque Mondiale,2026-05-06 23:28:36
MLI,Mali,2021,22999245262.6719,PIB nominal (USD),Banque Mondiale,2026-05-06 23:28:36
MLI,Mali,2020,20698560938.7775,PIB nominal (USD),Banque Mondiale,2026-05-06 23:28:36
MLI,Mali,2019,20477421884.5414,PIB nominal (USD),Banque Mondiale,2026-05-06 23:28:36
NER,Niger,2024,19876128485.7857,PIB nominal (USD),Banque Mondiale,2026-05-06 23:28:36
NER,Niger,2023,16698786977.59,PIB nominal (USD),Banque Mondiale,2026-05-06 23:28:36
NER,Niger,2022,15433852712.2963,PIB nominal (USD),Banque Mondiale,2026-05-06 23:28:36
NER,Niger,2021,14915002436.069,PIB nominal (USD),Banque Mondiale,2026-05-06 23:28:36
NER,Niger,2020,13744653103.058,PIB nominal (USD),Banque Mondiale,2026-05-06 23:28:36
NER,Niger,2019,12889555561.2299,PIB nominal (USD),Banque Mondiale,2026-05-06 23:28:36
SEN,Senegal,2024,32808056600.9436,PIB nominal (USD),Banque Mondiale,2026-05-06 23:28:36
SEN,Senegal,2023,30696331295.7826,PIB nominal (USD),Banque Mondiale,2026-05-06 23:28:36
SEN,Senegal,2022,27783332222.6759,PIB nominal (USD),Banque Mondiale,2026-05-06 23:28:36
SEN,Senegal,2021,27520784129.7508,PIB nominal (USD),Banque Mondiale,2026-05-06 23:28:36
SEN,Senegal,2020,24530513037.7518,PIB nominal (USD),Banque Mondiale,2026-05-06 23:28:36
SEN,Senegal,2019,23403995992.1354,PIB nominal (USD),Banque Mondiale,2026-05-06 23:28:36
TGO,Togo,2024,10651180146.531,PIB nominal (USD),Banque Mondiale,2026-05-06 23:28:36
TGO,Togo,2023,9816236302.58515,PIB nominal (USD),Banque Mondiale,2026-05-06 23:28:36
TGO,Togo,2022,8646453099.4124,PIB nominal (USD),Banque Mondiale,2026-05-06 23:28:36
TGO,Togo,2021,8541668141.26198,PIB nominal (USD),Banque Mondiale,2026-05-06 23:28:36
TGO,Togo,2020,7486031561.86885,PIB nominal (USD),Banque Mondiale,2026-05-06 23:28:36
TGO,Togo,2019,6992654019.28876,PIB nominal (USD),Banque Mondiale,2026-05-06 23:28:36
BEN,Benin,2024,1.16093089640415,FP.CPI.TOTL.ZG,Banque Mondiale,2026-05-06 23:28:36
BEN,Benin,2023,2.73870078406074,FP.CPI.TOTL.ZG,Banque Mondiale,2026-05-06 23:28:36
